mes;Bogotá;Soacha;Gachancipá
ene-22;11,38;7,52;11,33
feb-22;10,7;7,56;11,26
mar-22;10,87;7,62;11,01
abr-22;10,87;7,6;11
may-22;10,9;7,62;11,01
jun-22;10,89;7,6;11
jul-22;10,9;7,6;11,09
ago-22;10,85;7,62;11,09
sep-22;10,85;7,6;11
oct-22;10,85;7,62;11
nov-22;10,86;7,59;11
dic-22;10,84;7,61;11
ene-23;12,43;7,68;11,4
feb-23;11,32;7,76;11,45
mar-23;11,11;7,63;11,24
abr-23;11,02;7,68;11,27
may-23;11;7,61;11,33
jun-23;10,95;7,64;11,36
jul-23;10,96;7,68;11,42
ago-23;10,92;7,71;11,44
sep-23;10,92;7,68;11,53
oct-23;10,91;7,7;11,56
nov-23;10,92;7,7;11,52
dic-23;10,91;7,72;11,52
