Fecha,Temp_aire_media,Humedad_relativa_media
2017-01-01,13.1001006088813,78.62160280314298
2017-02-01,13.283279168344576,72.82210603503437
2017-03-01,13.388423886821075,81.88514530154809
2017-04-01,13.620945247737474,67.07277196885263
2017-05-01,13.898287579221925,72.69115478905904
2017-06-01,13.58644675925925,71.38310372718094
2017-07-01,12.821366207437325,78.4517145306289
2017-08-01,13.09187735215055,68.85330083871447
2017-09-01,13.506056579415976,67.08395660167604
2017-10-01,13.67365288978495,73.30552735439937
2017-11-01,13.858163550293275,78.2918479401868
2017-12-01,13.595623008761466,71.07745780521674
2018-01-01,13.200937126642765,69.676053138917
2018-02-01,13.799133720656549,74.8562444750626
2018-03-01,13.608416538658474,76.5402772149934
2018-04-01,13.04712848932675,83.93535448641836
2018-05-01,13.3627018283016,83.16553924966783
2018-06-01,13.072544849537024,80.0231158750656
2018-07-01,13.166223566308275,79.25614351432246
2018-08-01,12.869268817204325,75.82104975825176
2018-09-01,13.371309891543124,76.97264672259607
2018-10-01,13.571796280023449,81.29176296373896
2018-11-01,13.647145543981475,82.52262633522294
2018-12-01,13.163791816009565,73.80949982303609
2019-01-01,13.150739247311833,77.82994060583177
2019-02-01,13.71558426880965,77.0121775793651
2019-03-01,14.022894391026,74.9927337359162
2019-04-01,13.782939151110375,78.11283139274595
2019-05-01,13.3964373104494,77.44008115304774
2019-06-01,13.2997988287988,75.1640327380951
2019-07-01,13.179896554863475,71.52139740793686
2019-08-01,13.081995736003,78.58439991023553
2019-09-01,13.261543072089925,77.48325797120164
2019-10-01,13.08507810346015,79.95891944063557
2019-11-01,13.657413194444375,81.90930176460459
2019-12-01,13.507414874551968,82.60136873858326
2020-01-01,12.912386734697177,75.69218158291005
2020-02-01,13.344977330779075,71.2112755196118
2020-03-01,14.122464990045799,78.22159578270447
2020-04-01,13.683609763864402,77.45585423929235
2020-05-01,13.668633615539898,79.21924971120825
2020-06-01,13.3379379438868,79.05430699921195
2020-07-01,13.3297200574391,79.73025973566645
2020-08-01,13.178152633471766,87.132377553524
2020-09-01,13.1217076210826,88.4422851203802
2020-10-01,13.41332378484895,88.4838869463866
2020-11-01,13.30654401154405,93.8463003893975
2020-12-01,12.98952726870975,91.2119845904867
2021-01-01,12.971158900836302,64.4055943754317
2021-02-01,13.487580605158675,78.68635336551915
2021-03-01,12.642913287979667,73.2780081311521
2021-04-01,13.40329745148225,
2021-05-01,13.267397629891075,
2021-06-01,13.065214120370374,
2021-07-01,13.04724668355785,
2021-08-01,13.2585398206226,82.65226460496001
2021-09-01,13.168098191674575,78.42917502774534
2021-10-01,13.36713664528735,83.94619863813864
2021-11-01,13.3094279650139,84.1482418592439
2021-12-01,13.091532258064504,73.57935755295766
2022-01-01,13.212782080170829,53.2149083577722
2022-02-01,13.229514348177549,80.80743234223847
2022-03-01,13.320294999457701,78.80748358779367
2022-04-01,13.216762054491575,72.54804784214315
2022-05-01,13.248944343004025,73.16720172151624
2022-06-01,12.8941517468807,77.5683243546577
2022-07-01,12.940044680586075,75.55068462639963
2022-08-01,13.55607136944285,74.9529872001923
2022-09-01,13.157625782711374,74.40673069985523
2022-10-01,14.533770310633267,79.91559787331028
2022-11-01,14.4342438271605,84.8104416786917
2022-12-01,13.5581317204301,69.84336935937057
2023-01-01,13.71784785685055,76.28378243534534
2023-02-01,13.8459408068783,65.7874319727887
2023-03-01,12.922076900101132,77.0551075268821
2023-04-01,14.1606641427105,70.9899801587301
2023-05-01,14.3679033731346,68.5226478494625
2023-06-01,14.1835509217849,
2023-07-01,14.36589091490725,
2023-08-01,14.11326523297485,
2023-09-01,14.14596153846145,
2023-10-01,13.319064492412366,
2023-11-01,13.427959104938301,
2023-12-01,12.4575524415406,
2024-01-01,13.369226490374535,
2024-02-01,13.564852935139568,
2024-03-01,13.818733052600868,72.0020772238513
2024-04-01,13.984390801575534,75.4216954022989
2024-05-01,15.3490532848648,78.7419354838711
2024-06-01,14.263444893918168,31.8531565656547
2024-07-01,14.050309633027501,70.6740591397851
2024-08-01,13.760722222222233,67.1118055555556
2024-09-01,13.807736645647632,67.2923611111104
2024-10-01,13.852115577224732,72.9941782355572
2024-11-01,13.5441782864881,79.4103354978358
2024-12-01,13.09495967741935,
