Fecha,Consumo_Bogota,Consumo_Soacha,Consumo_Gachancipa
2017-02-01,11.1,7.19,10.12
2017-03-01,10.91,7.51,10.11
2017-05-01,11.08,7.59,10.22
2017-06-01,11.22,7.49,10.29
2017-07-01,11.15,7.61,10.29
2017-09-01,11.17,7.63,10.36
2017-10-01,11.29,7.58,10.44
2017-11-01,11.26,7.66,10.44
2018-02-01,11.41,7.48,10.71
2018-03-01,10.92,7.9,10.71
2018-05-01,11.29,7.87,11.04
2018-06-01,11.4,7.61,11.27
2018-07-01,11.35,7.79,11.26
2018-09-01,11.35,7.74,11.35
2018-10-01,11.42,7.61,11.39
2018-11-01,11.36,7.72,11.39
2019-02-01,11.21,7.51,9.24
2019-03-01,11.06,8.05,9.23
2019-05-01,11.39,8.0,9.64
2019-06-01,11.34,7.72,10.0
2019-07-01,11.26,7.9,10.0
2019-09-01,11.37,7.87,10.07
2019-10-01,11.34,7.73,10.18
2019-11-01,11.39,7.85,10.45
2020-02-01,11.12,7.53,11.03
2020-03-01,11.32,7.95,10.52
2020-05-01,11.09,7.71,10.55
2020-06-01,10.96,7.47,10.55
2020-07-01,10.89,7.44,10.5
2020-09-01,10.76,7.47,10.44
2020-10-01,10.73,7.42,10.44
2020-11-01,10.79,7.43,10.56
2021-02-01,10.63,7.72,11.0
2021-03-01,10.68,7.8,11.5
2021-05-01,10.66,7.76,11.39
2021-06-01,10.56,7.64,11.39
2021-07-01,10.61,7.71,11.1
2021-09-01,10.62,7.66,11.05
2021-10-01,10.61,7.64,11.05
2021-11-01,10.69,7.7,11.0
2022-02-01,10.7,7.56,11.26
2022-03-01,10.87,7.62,11.01
2022-05-01,10.9,7.62,11.01
2022-06-01,10.89,7.6,11.0
2022-07-01,10.9,7.6,11.09
2022-09-01,10.85,7.6,11.0
2022-10-01,10.85,7.62,11.0
2022-11-01,10.86,7.59,11.0
2023-02-01,11.32,7.76,11.45
2023-02-01,11.32,7.76,11.45
2023-03-01,11.11,7.63,11.24
2023-03-01,11.11,7.63,11.24
2023-05-01,11.0,7.61,11.33
2023-05-01,11.0,7.61,11.33
2023-06-01,10.95,7.64,11.36
2023-06-01,10.95,7.64,11.36
2023-07-01,10.96,7.68,11.42
2023-07-01,10.96,7.68,11.42
2023-09-01,10.92,7.68,11.53
2023-09-01,10.92,7.68,11.53
2023-10-01,10.91,7.7,11.56
2023-10-01,10.91,7.7,11.56
2023-11-01,10.92,7.7,11.52
2023-11-01,10.92,7.7,11.52
2024-02-01,10.62,7.73,11.58
2024-03-01,10.76,7.62,11.45
2024-05-01,10.68,7.63,11.45
2024-06-01,10.46,7.66,11.23
2024-07-01,10.31,7.49,11.23
2024-09-01,10.19,7.46,11.11
2024-10-01,10.14,7.44,11.07
2024-11-01,10.15,7.44,11.07
