Fecha,Consumo_Bogota,Consumo_Soacha,Consumo_Gachancipa,Temp_aire_media,Humedad_relativa_media
2017-02-01,11.1,7.19,10.12,13.283279168344576,72.82210603503437
2017-03-01,10.91,7.51,10.11,13.388423886821075,81.88514530154809
2017-05-01,11.08,7.59,10.22,13.898287579221925,72.69115478905904
2017-06-01,11.22,7.49,10.29,13.58644675925925,71.38310372718094
2017-07-01,11.15,7.61,10.29,12.821366207437325,78.4517145306289
2017-09-01,11.17,7.63,10.36,13.506056579415976,67.08395660167604
2017-10-01,11.29,7.58,10.44,13.67365288978495,73.30552735439937
2017-11-01,11.26,7.66,10.44,13.858163550293275,78.2918479401868
2018-02-01,11.41,7.48,10.71,13.799133720656549,74.8562444750626
2018-03-01,10.92,7.9,10.71,13.608416538658474,76.5402772149934
2018-05-01,11.29,7.87,11.04,13.3627018283016,83.16553924966783
2018-06-01,11.4,7.61,11.27,13.072544849537024,80.0231158750656
2018-07-01,11.35,7.79,11.26,13.166223566308275,79.25614351432246
2018-09-01,11.35,7.74,11.35,13.371309891543124,76.97264672259607
2018-10-01,11.42,7.61,11.39,13.571796280023449,81.29176296373896
2018-11-01,11.36,7.72,11.39,13.647145543981475,82.52262633522294
2019-02-01,11.21,7.51,9.24,13.71558426880965,77.0121775793651
2019-03-01,11.06,8.05,9.23,14.022894391026,74.9927337359162
2019-05-01,11.39,8.0,9.64,13.3964373104494,77.44008115304774
2019-06-01,11.34,7.72,10.0,13.2997988287988,75.1640327380951
2019-07-01,11.26,7.9,10.0,13.179896554863475,71.52139740793686
2019-09-01,11.37,7.87,10.07,13.261543072089925,77.48325797120164
2019-10-01,11.34,7.73,10.18,13.08507810346015,79.95891944063557
2019-11-01,11.39,7.85,10.45,13.657413194444375,81.90930176460459
2020-02-01,11.12,7.53,11.03,13.344977330779075,71.2112755196118
2020-03-01,11.32,7.95,10.52,14.122464990045799,78.22159578270447
2020-05-01,11.09,7.71,10.55,13.668633615539898,79.21924971120825
2020-06-01,10.96,7.47,10.55,13.3379379438868,79.05430699921195
2020-07-01,10.89,7.44,10.5,13.3297200574391,79.73025973566645
2020-09-01,10.76,7.47,10.44,13.1217076210826,88.4422851203802
2020-10-01,10.73,7.42,10.44,13.41332378484895,88.4838869463866
2020-11-01,10.79,7.43,10.56,13.30654401154405,93.8463003893975
2021-02-01,10.63,7.72,11.0,13.487580605158675,78.68635336551915
2021-03-01,10.68,7.8,11.5,12.642913287979667,73.2780081311521
2021-09-01,10.62,7.66,11.05,13.168098191674575,78.42917502774534
2021-10-01,10.61,7.64,11.05,13.36713664528735,83.94619863813864
2021-11-01,10.69,7.7,11.0,13.3094279650139,84.1482418592439
2022-02-01,10.7,7.56,11.26,13.229514348177549,80.80743234223847
2022-03-01,10.87,7.62,11.01,13.320294999457701,78.80748358779367
2022-05-01,10.9,7.62,11.01,13.248944343004025,73.16720172151624
2022-06-01,10.89,7.6,11.0,12.8941517468807,77.5683243546577
2022-07-01,10.9,7.6,11.09,12.940044680586075,75.55068462639963
2022-09-01,10.85,7.6,11.0,13.157625782711374,74.40673069985523
2022-10-01,10.85,7.62,11.0,14.533770310633267,79.91559787331028
2022-11-01,10.86,7.59,11.0,14.4342438271605,84.8104416786917
2023-02-01,11.32,7.76,11.45,13.8459408068783,65.7874319727887
2023-03-01,11.11,7.63,11.24,12.922076900101132,77.0551075268821
2023-05-01,11.0,7.61,11.33,14.3679033731346,68.5226478494625
2024-03-01,10.76,7.62,11.45,13.818733052600868,72.0020772238513
2024-05-01,10.68,7.63,11.45,15.3490532848648,78.7419354838711
2024-06-01,10.46,7.66,11.23,14.263444893918168,31.8531565656547
2024-07-01,10.31,7.49,11.23,14.050309633027501,70.6740591397851
2024-09-01,10.19,7.46,11.11,13.807736645647632,67.2923611111104
2024-10-01,10.14,7.44,11.07,13.852115577224732,72.9941782355572
2024-11-01,10.15,7.44,11.07,13.5441782864881,79.4103354978358
